date;precipitation;ETP;a;b;c;d;e;f;g
2017-06-12 14:00;0;0.36;14.9;18.7;-3.1;6.7;22.7;19.7;27.5
2017-06-12 15:00;0;0.3;14;17.7;-3.3;6.5;21.6;19.7;27.3
2017-06-12 16:00;0;0.23;12.7;16.6;-4.6;6.1;20.8;19.5;26.3
2017-06-12 17:00;0.25;0.16;12;16.2;-4.4;6.2;20.6;19.1;26.3
2017-06-12 18:00;0;0.08;11.9;15.7;-4.6;5.2;19.9;18.9;25.9
2017-06-12 19:00;0;0;11.1;15;-5.2;5.9;19.3;19.1;25.8
2017-06-12 20:00;0;0;11.2;15.2;-4.8;6;19.5;18.6;25.9
2017-06-12 21:00;0;0;10.8;14.6;-5;6.2;19.4;19;26.1
2017-06-12 22:00;0;0;10.1;14.1;-5.4;6.1;19;19;26.2
2017-06-12 23:00;0;0;10.2;13.9;-5.1;5.8;19.3;18.6;26.1
2017-06-13 00:00;0;0;9.3;13.1;-5.7;5.6;18.2;18.6;25.2
2017-06-13 01:00;0;0;9.2;13;-5.4;5.5;18.7;18.2;25.8
2017-06-13 02:00;0;0;9;13.2;-5.4;5.9;18.6;18.8;25.8
2017-06-13 03:00;0;0;8.6;12.5;-6.1;5.9;18;18.6;25.2
2017-06-13 04:00;0;0.04;8.6;12.4;-5.9;5;17.9;18;25.3
2017-06-13 05:00;0.89;0.12;8.6;12.5;-5.7;5.6;18.2;18.3;25.6
2017-06-13 06:00;4.06;0.2;8.5;11.7;-6;6.3;17.9;18.8;25.9
2017-06-13 07:00;0.62;0.27;13.1;13.4;-5.9;6.8;18.2;19.7;25
2017-06-13 08:00;0;0.34;19.2;27.3;-1.1;6.8;24.3;20.2;24.4
2017-06-13 09:00;0;0.4;19.1;27.8;0.8;7.1;25.3;19.5;24.4
2017-06-13 10:00;0;0.43;18.1;25.7;0.6;7.5;24;19;23.6
2017-06-13 11:00;0;0.45;17.1;24;0;7.9;23.6;18.5;23.4
2017-06-13 12:00;0;0.45;15.4;21.6;-0.4;7.8;22.3;18;22.9
2017-06-13 13:00;0;0.42;14.5;20.4;-1;7.9;21.7;17.7;23.1
2017-06-13 14:00;0;0.38;13.6;19;-1.9;7.4;20.9;17.1;22.9
2017-06-13 15:00;0;0.32;12.5;17.8;-2.1;7.2;20.4;16.3;22.4
2017-06-13 16:00;0;0.24;11.9;16.8;-2.5;6.8;19.8;15.9;22.1
2017-06-13 17:00;0;0.16;10.9;15.9;-3.1;6.3;19.3;15.4;21.9
2017-06-13 18:00;0;0.08;9.8;14.8;-3.8;6.2;18.4;15.2;21.6
2017-06-13 19:00;0;0.01;9.6;14.5;-3.7;6.1;18.2;14.7;21.7
