date;precipatation;ETP;a;b;c;d;e;f;g;h
2017-06-12 14:00;0;0.36;49.1;60.3;68.1;66.3;49.3;47.3;44.5;65.9
2017-06-12 15:00;0;0.3;50;61.3;68.3;66.5;50.4;47.3;44.7;66
2017-06-12 16:00;0;0.23;51.3;62.4;69.6;66.9;51.2;47.5;45.7;66.6
2017-06-12 17:00;1;0.16;52;62.8;69.4;66.8;51.4;47.9;45.7;66.4
2017-06-12 18:00;0;0.08;52.1;63.3;69.6;67.8;52.1;48.1;46.1;66.9
2017-06-12 19:00;0;0;52.9;64;70.2;67.1;52.7;47.9;46.2;67.5
2017-06-12 20:00;0;0;52.8;63.8;69.8;67;52.5;48.4;46.1;67.2
2017-06-12 21:00;0;0;53.2;64.4;70;66.8;52.6;48;45.9;67.6
2017-06-12 22:00;0;0;53.9;64.9;70.4;66.9;53;48;45.8;68
2017-06-12 23:00;0;0;53.8;65.1;70.1;67.2;52.7;48.4;45.9;68.3
2017-06-13 00:00;0;0;54.7;65.9;70.7;67.4;53.8;48.4;46.8;69
2017-06-13 01:00;0;0;54.8;66;70.4;67.5;53.3;48.8;46.2;68.3
2017-06-13 02:00;0;0;55;65.8;70.4;67.1;53.4;48.2;46.2;68.4
2017-06-13 03:00;0;0;55.4;66.5;71.1;67.1;54;48.4;46.8;68.8
2017-06-13 04:00;0;0.04;55.4;66.6;70.9;68;54.1;49;46.7;68.8
2017-06-13 05:00;0;0.12;55.4;66.5;70.7;67.4;53.8;48.7;46.4;68.5
2017-06-13 06:00;0;0.2;55.5;67.3;71;66.7;54.1;48.2;46.1;68.9
2017-06-13 07:00;0;0.27;50.9;65.6;70.9;66.2;53.8;47.3;47;69.6
2017-06-13 08:00;0;0.34;44.8;51.7;66.1;66.2;47.7;46.8;47.6;70.7
2017-06-13 09:00;0;0.4;44.9;51.2;64.2;65.9;46.7;47.5;47.6;71.5
2017-06-13 10:00;0;0.43;45.9;53.3;64.4;65.5;48;48;48.4;72
2017-06-13 11:00;0;0.45;46.9;55;65;65.1;48.4;48.5;48.6;72
2017-06-13 12:00;0;0.45;48.6;57.4;65.4;65.2;49.7;49;49.1;72.2
2017-06-13 13:00;0;0.42;49.5;58.6;66;65.1;50.3;49.3;48.9;72.2
2017-06-13 14:00;0;0.38;50.4;60;66.9;65.6;51.1;49.9;49.1;72.8
2017-06-13 15:00;0;0.32;51.5;61.2;67.1;65.8;51.6;50.7;49.6;72.5
2017-06-13 16:00;0;0.24;52.1;62.2;67.5;66.2;52.2;51.1;49.9;72.6
2017-06-13 17:00;0;0.16;53.1;63.1;68.1;66.7;52.7;51.6;50.1;72.5
2017-06-13 18:00;0;0.08;54.2;64.2;68.8;66.8;53.6;51.8;50.4;72.9
2017-06-13 19:00;0;0.01;54.4;64.5;68.7;66.9;53.8;52.3;50.3;72.5
2017-06-13 20:00;0;0;54.3;64.5;68.5;66.5;53.5;52.3;49.7;71.9
2017-06-13 21:00;0;0;54.4;64.5;68.5;65.9;53.2;52.1;49;72.1
2017-06-13 22:00;0;0;54.2;64.9;67.9;66.1;53.1;52.1;49;71.7
2017-06-13 23:00;0;0;54.8;65.4;68.6;65.8;53.4;51.9;49.4;72.3
2017-06-14 00:00;0;0;54.5;65.3;68.1;66.4;53.5;52.4;49;71.7
2017-06-14 01:00;0;0;55;65.9;68.7;66;53.7;52.1;49.4;71.6
2017-06-14 02:00;0;0;55.1;66.4;68.8;66.2;53.8;52.4;49.3;71.8
2017-06-14 03:00;0;0;54.9;66.4;68.8;66.5;53.5;52.4;48.7;71.5
2017-06-14 04:00;0;0.03;55.7;67.3;69.4;66.1;54.1;52.4;49.7;71.7
2017-06-14 05:00;0;0.11;55.6;67.5;69.5;66.6;54.2;53.2;49.8;71.9
2017-06-14 06:00;0;0.18;55.8;67.8;69.8;66.7;54.3;53.4;49.8;71.7
2017-06-14 07:00;0;0.25;56.1;68.6;70.8;66.8;53.3;52.4;50.2;72.4
2017-06-14 08:00;0;0.32;54.4;65.6;70.2;66.6;52.2;52.6;50.2;72.7
2017-06-14 09:00;0;0.37;53.9;65.1;70.1;67.5;52.3;53.2;51.5;73.4
2017-06-14 10:00;0;0.4;54;65.7;70.5;68.5;53;54;51.9;73.8
2017-06-14 11:00;0;0.41;53.9;65.5;70.5;69.1;53.2;54.7;51.9;73.7
2017-06-14 12:00;0;0.41;54.3;66.6;71;69.3;53.8;54.9;52.4;73.8
2017-06-14 13:00;0;0.39;54.6;66.9;71.1;69.5;54.1;55.6;52.2;73.5
2017-06-14 14:00;0;0.35;55.3;67.4;71.4;69.4;54.4;55.8;52.8;73.8
2017-06-14 15:00;0;0.29;55.5;67.8;71.2;69.7;54.2;56.4;52.8;73.4
2017-06-14 16:00;0;0.22;55.8;67.6;71;69.5;54.2;56.7;52.5;73.4
2017-06-14 17:00;0;0.15;56.5;68.6;71.8;69.2;54.9;56.7;52.8;73.5
2017-06-14 18:00;0;0.08;57;69;71.8;69.5;55.4;57.2;53.2;73.7
2017-06-14 19:00;0;0.01;57;69.2;71.7;69.6;55.5;57.8;53.1;73.1
2017-06-14 20:00;0;0;56.8;69.1;71.3;69.2;55.2;57.5;52.8;73.1
2017-06-14 21:00;0;0;55.9;68.5;70.4;69.1;54.2;57.5;52.2;71.8
2017-06-14 22:00;0;0;55.7;68.3;70.3;68;54.2;56.5;51.9;71.5
2017-06-14 23:00;0;0;56.3;68.9;70.5;67.7;54.6;56.5;51.9;71.8
2017-06-15 00:00;0;0;55.7;68.5;70.3;68.5;54.3;57.2;51.6;71.4
2017-06-15 01:00;0;0;56.7;69.7;70.7;67.7;54.7;56.6;52.1;71.8
2017-06-15 02:00;0;0;56.6;69.5;70.4;67.8;54.5;57;52.2;71.6
2017-06-15 03:00;0;0;56.4;69.9;70.4;68.3;54.6;56.5;52.6;71.3
2017-06-15 04:00;0;0.04;56.5;70.3;70.8;68.3;54.3;55.7;52.5;71
2017-06-15 05:00;0;0.13;56.4;70.3;70.5;68.4;53.9;54.8;52.5;71
2017-06-15 06:00;0;0.22;56.4;71;70.7;67.9;54;53.8;52.4;71.1
2017-06-15 07:00;0;0.31;56.8;72.1;71.7;67.8;54.9;53.4;53.7;72.2
2017-06-15 08:00;0;0.38;57.2;72.6;72.4;68.3;55.6;53.9;54.2;72.6
2017-06-15 09:00;0;0.44;57.4;73.1;73.1;68.6;56.4;54.3;55.1;73
2017-06-15 10:00;0;0.48;57;72.9;72.9;69;56.3;54.6;54.8;72.7
2017-06-15 11:00;0;0.5;57.6;73.6;73.3;68.7;56.8;53.8;55.5;72.5
2017-06-15 12:00;0;0.5;58.2;73.9;73.3;69.3;57.2;54.8;55.8;72.7
2017-06-15 13:00;0;0.47;58;73.1;73.2;69.5;56.9;55.1;55.6;72
2017-06-15 14:00;0;0.42;58.6;73.8;73.8;69.4;57.3;55;56.2;72.1
2017-06-15 15:00;0;0.35;58.9;73.8;73.8;69.6;57.6;55.8;56.2;71.8
2017-06-15 16:00;0;0.27;58.8;73.6;73.7;69.8;57.3;56.1;56.1;71.9
2017-06-15 17:00;0;0.18;58.8;73.7;73.3;69.5;57.3;56.2;55.8;71.5
2017-06-15 18:00;0;0.09;58.6;73.1;72.9;69.3;57.2;56.7;55.2;71
2017-06-15 19:00;0;0.01;58.8;73.4;72.8;68.9;57.1;56.3;55.9;71.3
2017-06-15 20:00;0;0;58.3;73;72.5;69.4;56.7;57.1;55.3;70.8
2017-06-15 21:00;0;0;58.5;73.1;72.3;68.5;56.7;56.6;55.2;70.8
2017-06-15 22:00;0;0;58.2;72.9;72.1;68.9;56.4;57.1;54.9;70.2
2017-06-15 23:00;0;0;58.4;73.1;72.1;68.9;56.6;57;55;70.6
2017-06-16 00:00;0;0;58.9;73.7;72.4;69.1;56.8;57;55.5;70.8
2017-06-16 01:00;0;0;59;73.8;73;69.3;57.2;57.7;55.7;70.8
2017-06-16 02:00;0;0;58.8;73.8;72.6;70.1;57.2;58.1;55.4;70.5
2017-06-16 03:00;0;0;59;74;72.8;69.5;57.2;57.9;55.7;70.4
2017-06-16 04:00;0;0.03;59.4;74.5;73.3;69.7;57.7;58.1;56.2;70.9
2017-06-16 05:00;3;0.09;59.4;74.3;73;70;57.6;58.2;55.6;70.4
2017-06-16 06:00;5.5;0.15;59.5;74.2;73;70.2;57.6;57.6;56;70.3
2017-06-16 07:00;8.5;0.2;52.2;73.8;72.9;69.8;56;55.5;56;70.3
2017-06-16 08:00;8.4;0.25;29.9;49.7;58.8;61.2;36;49;52.1;69.4
2017-06-16 09:00;2.6;0.29;17.2;29.1;41;51;20.4;39.9;32.7;61.9
2017-06-16 10:00;1.1;0.32;12.8;21.1;32.3;45;17;31.5;18.1;53.9
2017-06-16 11:00;0;0.33;12.9;20.4;32.2;40.8;21.6;27.8;13.8;51
2017-06-16 12:00;0;0.33;15.1;23.2;32.9;38.4;25.6;27;13.7;49.1
2017-06-16 13:00;0;0.31;18.8;28.3;35.6;37;31.1;26.3;14.9;48.1
2017-06-16 14:00;0;0.28;22.1;33.6;38.2;37.8;35;26.6;16.2;47.7
2017-06-16 15:00;0;0.23;24.1;37.2;40.4;38.5;37.5;26.9;16.5;47
2017-06-16 16:00;0;0.18;26.7;41.6;42.6;39.5;39.7;27;17.5;46.5
2017-06-16 17:00;0;0.12;28.5;44.6;44.5;41;41.1;27.8;17.9;46.3
2017-06-16 18:00;0;0.06;31;47.2;46.1;41.6;42.4;27.8;17.9;46.2
2017-06-16 19:00;0;0.01;33.1;49.2;47.6;43.5;43.5;28;18.5;46.5
2017-06-16 20:00;0;0;34.5;50.9;48.7;44.2;44.3;28.5;18.8;46.2
2017-06-16 21:00;1.9;0;36.6;52.7;50.3;45.1;45.4;28.6;19.4;46.9
2017-06-16 22:00;0;0;37.8;53.6;50.7;46.7;45.6;29.1;19.4;46.9
2017-06-16 23:00;0;0;39.5;54.9;52.1;47.1;46.7;29.1;20;47.3
2017-06-17 00:00;0;0;40.4;55.6;52.3;49.1;47;30.2;20.1;47.6
2017-06-17 01:00;0;0;41.6;56.6;53;49.5;47.3;29.9;20.4;47.9
2017-06-17 02:00;0;0;42.2;57.1;53.6;50.5;47.7;30.3;20.2;48.3
2017-06-17 03:00;0;0;43;57.5;54.1;51.1;48;30.5;20.5;48.4
2017-06-17 04:00;0;0.04;44.1;59;54.7;51.4;48.8;30.5;20.9;49.2
2017-06-17 05:00;0;0.11;44.5;59.2;55.2;52.7;48.9;31.5;20.7;49.6
2017-06-17 06:00;0;0.19;44.2;59.2;55;53.1;48.6;31.3;20.4;49.5
2017-06-17 07:00;0;0.27;45.6;60.3;56.2;52.6;49.5;30.6;21.1;50.8
2017-06-17 08:00;0;0.34;46.7;61.4;56.9;53.8;49.8;31.8;22;51.6
2017-06-17 09:00;0;0.39;47.2;61.6;57.3;55.3;50.6;32.8;22.4;51.9
2017-06-17 10:00;0;0.43;47.8;62.4;58;55.9;50.7;32.9;22.5;52.3
2017-06-17 11:00;0;0.44;48.9;63.4;58.9;55.9;51.7;33.1;23.4;53.9
2017-06-17 12:00;0;0.44;49.3;63.2;58.9;57.6;51.6;34.6;23.5;53.7
2017-06-17 13:00;0;0.41;49.5;63.4;58.8;57.4;51.6;34.6;23.5;54.1
2017-06-17 14:00;0;0.37;50.1;64;59.8;57.6;52;34.5;24.2;54.6
2017-06-17 15:00;0;0.31;51.2;64.6;60.5;58.7;53;35.6;25;55.4
